Recd#,File_Name,EQID,SN,EQ#,R#,ST,FM,Mw,fDepth,SDist,Vdist,Rjb,Rx,SC,TVS30,Ts1,ImpR1,Ts2,ImpR2,Sa(gal),NWiD,Sa(g),staLon,staLat,ELon,ELat
9161,FKS0291103191856,201103191856E,FKS029,218,16,1,3,5.86,5.4,109.2,74.7,109.1,1000,1,0.244,0.161,3.54,0.218,4.64,1.07E+01,Knet,1.09E-02,139.3801,37.0159,140.572,36.784
9162,FKS0311103191856,201103191856E,FKS031,218,17,1,3,5.86,5.4,65.2,0,65,1000,1,0.197,0.148,3.7,0.09,5.62,6.06E+01,Knet,6.17E-02,140.8132,37.3364,140.572,36.784
9163,FKSH021103191856,201103191856E,FKSH02,218,18,1,3,5.86,5.4,121.9,82.9,121.8,1000,2,0.236,0.358,1.61,0.54,1.69,3.53E+01,Kik,3.60E-02,139.8821,37.7317,140.572,36.784
9164,FKSH031103191856,201103191856E,FKSH03,218,19,1,3,5.86,5.4,117,80.8,116.9,1000,4,0.343,0.976,1.85,0.976,2.18,2.47E+01,Kik,2.51E-02,139.7533,37.6078,140.572,36.784
9165,FKSH041103191856,201103191856E,FKSH04,218,20,1,3,5.86,5.4,100.3,65,100.2,1000,4,0.488,0.801,1.91,1.111,1.9,3.09E+01,Kik,3.15E-02,139.8126,37.4508,140.572,36.784
9166,FKSH051103191856,201103191856E,FKSH05,218,21,1,3,5.86,5.4,81.3,47.2,81.1,1000,1,0.201,0.153,4.79,0.153,4.79,4.50E+01,Kik,4.59E-02,139.8725,37.2544,140.572,36.784
9167,FKSH061103191856,201103191856E,FKSH06,218,22,1,3,5.86,5.4,103.1,66.7,102.9,1000,1,0.176,0.116,2.91,0.116,2.91,1.59E+01,Kik,1.62E-02,139.5199,37.1723,140.572,36.784
9168,FKSH071103191856,201103191856E,FKSH07,218,23,1,3,5.86,5.4,109.4,74.8,109.3,1000,1,0.145,0.071,5.36,0.071,5.36,9.47E+00,Kik,9.65E-03,139.3755,37.0103,140.572,36.784
9169,FKSH081103191856,201103191856E,FKSH08,218,24,1,3,5.86,5.4,64.1,24.8,63.8,1000,1,0.213,0.116,3.25,0.293,2.25,6.24E+01,Kik,6.36E-02,140.2144,37.2822,140.572,36.784
9170,FKSH091103191856,201103191856E,FKSH09,218,25,1,3,5.86,5.4,64.8,12.9,64.6,1000,1,0.205,0.164,7.9,0.164,7.9,3.29E+01,Kik,3.35E-02,140.4264,37.353,140.572,36.784
9171,FKSH101103191856,201103191856E,FKSH10,218,26,1,3,5.86,5.4,60.1,25.2,59.8,1000,1,0.246,0.181,2.4,0.256,2.2,4.00E+02,Kik,4.08E-01,140.093,37.1616,140.572,36.784
9172,FKSH111103191856,201103191856E,FKSH11,218,27,1,3,5.86,5.4,51.1,8.9,50.8,1000,3,0.5,0.564,4.95,0.561,4.95,1.22E+02,Kik,1.24E-01,140.3386,37.2006,140.572,36.784
9173,FKSH121103191856,201103191856E,FKSH12,218,28,1,3,5.86,5.4,48.5,0,48.1,1000,2,0.268,0.244,3.77,0.244,3.77,2.41E+02,Kik,2.45E-01,140.5703,37.2169,140.572,36.784
9174,FKSH141103191856,201103191856E,FKSH14,218,29,1,3,5.86,5.4,44.8,0,44.5,1000,4,0.507,0.822,4.07,0.822,4.07,1.04E+02,Kik,1.06E-01,140.9702,37.0264,140.572,36.784
9175,FKSH161103191856,201103191856E,FKSH16,218,30,1,3,5.86,5.4,110.5,55.7,110.3,1000,1,0.226,0.089,4.22,1.015,1.52,3.33E+01,Kik,3.40E-02,140.3766,37.7643,140.572,36.784
9176,FKSH171103191856,201103191856E,FKSH17,218,31,1,3,5.86,5.4,98,5,97.9,1000,1,0.221,0.133,6.11,0.133,6.11,6.12E+01,Kik,6.24E-02,140.5974,37.6636,140.572,36.784
9177,FKSH181103191856,201103191856E,FKSH18,218,32,1,3,5.86,5.4,78.6,9.9,78.5,1000,2,0.391,0.391,3.91,0.391,3.91,1.54E+02,Kik,1.57E-01,140.538,37.4894,140.572,36.784
9178,FKSH191103191856,201103191856E,FKSH19,218,33,1,3,5.86,5.4,77.6,0,77.4,1000,2,0.355,0.314,3.8,0.396,7.58,6.77E+01,Kik,6.90E-02,140.7227,37.4703,140.572,36.784
9179,FKSH211103191856,201103191856E,FKSH21,218,34,1,3,5.86,5.4,127.7,85.5,127.6,1000,3,0.329,0.508,1.97,0.56,3.69,3.43E+01,Kik,3.50E-02,139.3147,37.3421,140.572,36.784
9180,GNM0011103191856,201103191856E,GNM001,218,35,1,3,5.86,5.4,120.1,81.2,120,1000,1,0.232,0.199,3.7,0.123,5.62,2.85E+01,Knet,2.90E-02,139.2248,36.7722,140.572,36.784
9181,GNM0041103191856,201103191856E,GNM004,218,36,1,3,5.86,5.4,177.6,133.8,177.5,1000,2,0.322,0.329,3.54,0.227,4.64,1.45E+01,Knet,1.48E-02,138.5918,36.6172,140.572,36.784
9182,GNM0061103191856,201103191856E,GNM006,218,37,1,3,5.86,5.4,165.3,115.8,165.2,1000,2,0.285,0.276,3.7,0.176,5.62,4.23E+01,Knet,4.31E-02,138.7523,36.5103,140.572,36.784
9183,GNM0141103191856,201103191856E,GNM014,218,38,1,3,5.86,5.4,172.4,112.6,172.3,1000,2,0.312,0.255,3.7,0.131,5.62,1.78E+01,Knet,1.81E-02,138.7211,36.3467,140.572,36.784
9184,GNM0161103191856,201103191856E,GNM016,218,39,1,3,5.86,5.4,165.1,65.1,165,1000,2,0.243,0.246,3.7,0.156,5.62,2.41E+01,Knet,2.46E-02,138.9251,36.1162,140.572,36.784
9185,GNMH071103191856,201103191856E,GNMH07,218,40,1,3,5.86,5.4,121.8,79.7,121.7,1000,1,0.185,0.05,5,0.18,2.41,2.02E+01,Kik,2.05E-02,139.2104,36.6998,140.572,36.784
9186,GNMH081103191856,201103191856E,GNMH08,218,41,1,3,5.86,5.4,185.7,137,185.6,1000,4,0.354,1.237,2.34,1.237,2.34,2.98E+01,Kik,3.03E-02,138.5244,36.4917,140.572,36.784
9187,GNMH111103191856,201103191856E,GNMH11,218,42,1,3,5.86,5.4,157.7,86.5,157.6,1000,2,0.285,0.328,1.91,0.499,1.73,4.40E+01,Kik,4.48E-02,138.921,36.2862,140.572,36.784
