cellid,cellname,q1X,q1Y,q1Z,q2X,q2Y,q2Z,q3X,q3Y,q3Z,q4X,q4Y,q4Z,q5X,q5Y,q5Z,q6X,q6Y,q6Z,q7X,q7Y,q7Z,q8X,q8Y,q8Z,mptX,mptY,mptZ,UTMzone,q1Lat,q1Lon,q2Lat,q2Lon,q3Lat,q3Lon,q4Lat,q4Lon,q5Lat,q5Lon,q6Lat,q6Lon,q7Lat,q7Lon,q8Lat,q8Lon,mptLat,mptLon
10,c.10,-700.0,3650.0,-70.0,-675.0,3650.0,-70.0,-700.0,3675.0,-70.0,-675.0,3675.0,-70.0,-700.0,3650.0,0.0,-675.0,3650.0,0.0,-700.0,3675.0,0.0,-675.0,3675.0,0.0,-687.5,3662.5,-35.0,54,32.339729012401854,128.29296449518506,32.36601245136476,128.55226448366196,32.55970204656239,128.2615311106266,32.586208125575304,128.52143102935733,32.339729012401854,128.29296449518506,32.36601245136476,128.55226448366196,32.55970204656239,128.2615311106266,32.586208125575304,128.52143102935733,32.46298175305699,128.4070477791479
11,c.11,-700.0,3675.0,-70.0,-675.0,3675.0,-70.0,-700.0,3700.0,-70.0,-675.0,3700.0,-70.0,-700.0,3675.0,0.0,-675.0,3675.0,0.0,-700.0,3700.0,0.0,-675.0,3700.0,0.0,-687.5,3687.5,-35.0,54,32.55970204656239,128.2615311106266,32.586208125575304,128.52143102935733,32.77964003767516,128.2297535009312,32.80636979763463,128.49025961069475,32.55970204656239,128.2615311106266,32.586208125575304,128.52143102935733,32.77964003767516,128.2297535009312,32.80636979763463,128.49025961069475,32.68304942329474,128.37574381233256
12,c.12,-700.0,3700.0,-70.0,-675.0,3700.0,-70.0,-700.0,3725.0,-70.0,-675.0,3725.0,-70.0,-700.0,3700.0,0.0,-675.0,3700.0,0.0,-700.0,3725.0,0.0,-675.0,3725.0,0.0,-687.5,3712.5,-35.0,54,32.77964003767516,128.2297535009312,32.80636979763463,128.49025961069475,32.999542593833574,128.19762824378554,33.026497089369286,128.45874685975616,32.77964003767516,128.2297535009312,32.80636979763463,128.49025961069475,32.999542593833574,128.19762824378554,33.026497089369286,128.45874685975616,32.903082381050524,128.34409705321178
13,c.13,-700.0,3725.0,-70.0,-675.0,3725.0,-70.0,-700.0,3750.0,-70.0,-675.0,3750.0,-70.0,-700.0,3725.0,0.0,-675.0,3725.0,0.0,-700.0,3750.0,0.0,-675.0,3750.0,0.0,-687.5,3737.5,-35.0,54,32.999542593833574,128.19762824378554,33.026497089369286,128.45874685975616,33.219409318431595,128.16515186129337,33.24658961809247,128.42688935380494,32.999542593833574,128.19762824378554,33.026497089369286,128.45874685975616,33.219409318431595,128.16515186129337,33.24658961809247,128.42688935380494,33.12308023901651,128.31210407906937
14,c.14,-700.0,3750.0,-70.0,-675.0,3750.0,-70.0,-700.0,3775.0,-70.0,-675.0,3775.0,-70.0,-700.0,3750.0,0.0,-675.0,3750.0,0.0,-700.0,3775.0,0.0,-675.0,3775.0,0.0,-687.5,3762.5,-35.0,54,33.219409318431595,128.16515186129337,33.24658961809247,128.42688935380494,33.439239810063164,128.13232081897394,33.466646996507,128.3946836142945,33.219409318431595,128.16515186129337,33.24658961809247,128.42688935380494,33.439239810063164,128.13232081897394,33.466646996507,128.3946836142945,33.34304260522956,128.2797614114903
15,c.15,-700.0,3775.0,-70.0,-675.0,3775.0,-70.0,-700.0,3800.0,-70.0,-675.0,3800.0,-70.0,-700.0,3775.0,0.0,-675.0,3775.0,0.0,-700.0,3800.0,0.0,-675.0,3800.0,0.0,-687.5,3787.5,-35.0,54,33.439239810063164,128.13232081897394,33.466646996507,128.3946836142945,33.65903366241937,128.09913152473794,33.686668832605946,128.3621261058549,33.439239810063164,128.13232081897394,33.466646996507,128.3946836142945,33.65903366241937,128.09913152473794,33.686668832605946,128.3621261058549,33.562969082971286,128.24706551535297
16,c.16,-700.0,3800.0,-70.0,-675.0,3800.0,-70.0,-700.0,3825.0,-70.0,-675.0,3825.0,-70.0,-700.0,3800.0,0.0,-675.0,3800.0,0.0,-700.0,3825.0,0.0,-675.0,3825.0,0.0,-687.5,3812.5,-35.0,54,33.65903366241937,128.09913152473794,33.686668832605946,128.3621261058549,33.878790464183304,128.06558032784022,33.90665472957102,128.3292132352563,33.65903366241937,128.09913152473794,33.686668832605946,128.3621261058549,33.878790464183304,128.06558032784022,33.90665472957102,128.3292132352563,33.782859270665796,128.21401279779877
17,c.17,-700.0,3825.0,-70.0,-675.0,3825.0,-70.0,-700.0,3850.0,-70.0,-675.0,3850.0,-70.0,-700.0,3825.0,0.0,-675.0,3825.0,0.0,-700.0,3850.0,0.0,-675.0,3850.0,0.0,-687.5,3837.5,-35.0,54,33.878790464183304,128.06558032784022,33.90665472957102,128.3292132352563,34.098509798922336,128.03166351780888,34.126604285668584,128.295941350349,33.878790464183304,128.06558032784022,33.90665472957102,128.3292132352563,34.098509798922336,128.03166351780888,34.126604285668584,128.295941350349,34.00271276177513,128.18059960717855
18,c.18,-700.0,3850.0,-70.0,-675.0,3850.0,-70.0,-700.0,3875.0,-70.0,-675.0,3875.0,-70.0,-700.0,3850.0,0.0,-675.0,3850.0,0.0,-700.0,3875.0,0.0,-675.0,3875.0,0.0,-687.5,3862.5,-35.0,54,34.098509798922336,128.03166351780888,34.126604285668584,128.295941350349,34.31819124497808,127.99737732334997,34.34651709414326,128.26230673897925,34.098509798922336,128.03166351780888,34.126604285668584,128.295941350349,34.31819124497808,127.99737732334997,34.34651709414326,128.26230673897925,34.22252914469221,128.14682223197497
19,c.19,-700.0,3875.0,-70.0,-675.0,3875.0,-70.0,-700.0,3900.0,-70.0,-675.0,3900.0,-70.0,-700.0,3875.0,0.0,-675.0,3875.0,0.0,-700.0,3900.0,0.0,-675.0,3900.0,0.0,-687.5,3887.5,-35.0,54,34.31819124497808,127.99737732334997,34.34651709414326,128.26230673897925,34.537834375353654,127.96271791122743,34.5663927431091,128.2283056278803,34.31819124497808,127.99737732334997,34.34651709414326,128.26230673897925,34.537834375353654,127.96271791122743,34.5663927431091,128.2283056278803,34.442308002631336,128.1126768997004
